Generación,Mejor Individuo,Valor de la Función Objetivo
0,[14.2365618  26.69723537],376.43058266244554
1,[14.2365618  26.69723537],376.43058266244554
2,[14.2365618  26.69723537],376.43058266244554
3,[14.2365618  26.69723537],376.43058266244554
4,[14.2365618  26.69723537],376.43058266244554
5,[14.2365618  26.69723537],376.43058266244554
6,[14.2365618  26.69723537],376.43058266244554
7,[14.2365618  26.69723537],376.43058266244554
8,[14.2365618  26.69723537],376.43058266244554
9,[14.2365618  26.69723537],376.43058266244554
10,[14.2365618  26.69723537],376.43058266244554
11,[14.2365618  26.69723537],376.43058266244554
12,[14.2365618  26.69723537],376.43058266244554
13,[14.2365618  26.69723537],376.43058266244554
14,[14.2365618  26.69723537],376.43058266244554
15,[14.2365618  26.69723537],376.43058266244554
16,[14.2365618  26.69723537],376.43058266244554
17,[14.2365618  26.69723537],376.43058266244554
18,[14.2365618  26.69723537],376.43058266244554
19,[14.2365618  26.69723537],376.43058266244554
20,[14.2365618  26.69723537],376.43058266244554
21,[14.2365618  26.69723537],376.43058266244554
22,[14.2365618  26.69723537],376.43058266244554
23,[14.2365618  26.69723537],376.43058266244554
24,[14.2365618  26.69723537],376.43058266244554
25,[14.2365618  26.69723537],376.43058266244554
26,[14.2365618  26.69723537],376.43058266244554
27,[14.2365618  26.69723537],376.43058266244554
28,[14.2365618  26.69723537],376.43058266244554
29,[14.2365618  26.69723537],376.43058266244554
30,[14.2365618  26.69723537],376.43058266244554
31,[14.2365618  26.69723537],376.43058266244554
32,[14.2365618  26.69723537],376.43058266244554
33,[14.2365618  26.69723537],376.43058266244554
34,[14.2365618  26.69723537],376.43058266244554
35,[14.2365618  26.69723537],376.43058266244554
36,[14.2365618  26.69723537],376.43058266244554
37,[14.2365618  26.69723537],376.43058266244554
38,[14.2365618  26.69723537],376.43058266244554
39,[14.2365618  26.69723537],376.43058266244554
40,[14.2365618  26.69723537],376.43058266244554
41,[14.2365618  26.69723537],376.43058266244554
42,[14.2365618  26.69723537],376.43058266244554
43,[14.2365618  26.69723537],376.43058266244554
44,[14.2365618  26.69723537],376.43058266244554
45,[14.2365618  26.69723537],376.43058266244554
46,[14.2365618  26.69723537],376.43058266244554
47,[14.2365618  26.69723537],376.43058266244554
48,[14.2365618  26.69723537],376.43058266244554
49,[14.2365618  26.69723537],376.43058266244554
50,[14.2365618  26.69723537],376.43058266244554
51,[14.2365618  26.69723537],376.43058266244554
52,[14.2365618  26.69723537],376.43058266244554
53,[14.2365618  26.69723537],376.43058266244554
54,[14.2365618  26.69723537],376.43058266244554
55,[14.2365618  26.69723537],376.43058266244554
56,[14.2365618  26.69723537],376.43058266244554
57,[14.2365618  26.69723537],376.43058266244554
58,[14.2365618  26.69723537],376.43058266244554
59,[14.2365618  26.69723537],376.43058266244554
60,[14.2365618  26.69723537],376.43058266244554
61,[14.2365618  26.69723537],376.43058266244554
62,[14.2365618  26.69723537],376.43058266244554
63,[14.2365618  26.69723537],376.43058266244554
64,[14.2365618  26.69723537],376.43058266244554
65,[14.2365618  26.69723537],376.43058266244554
66,[14.2365618  26.69723537],376.43058266244554
67,[14.2365618  26.69723537],376.43058266244554
68,[14.2365618  26.69723537],376.43058266244554
69,[14.2365618  26.69723537],376.43058266244554
70,[14.2365618  26.69723537],376.43058266244554
71,[14.2365618  26.69723537],376.43058266244554
72,[14.2365618  26.69723537],376.43058266244554
73,[14.2365618  26.69723537],376.43058266244554
74,[14.2365618  26.69723537],376.43058266244554
75,[14.2365618  26.69723537],376.43058266244554
76,[14.2365618  26.69723537],376.43058266244554
77,[14.2365618  26.69723537],376.43058266244554
78,[14.2365618  26.69723537],376.43058266244554
79,[14.2365618  26.69723537],376.43058266244554
80,[14.2365618  26.69723537],376.43058266244554
81,[14.2365618  26.69723537],376.43058266244554
82,[14.2365618  26.69723537],376.43058266244554
83,[14.2365618  26.69723537],376.43058266244554
84,[14.2365618  26.69723537],376.43058266244554
85,[14.2365618  26.69723537],376.43058266244554
86,[14.2365618  26.69723537],376.43058266244554
87,[14.2365618  26.69723537],376.43058266244554
88,[14.2365618  26.69723537],376.43058266244554
89,[14.2365618  26.69723537],376.43058266244554
90,[14.2365618  26.69723537],376.43058266244554
91,[14.2365618  26.69723537],376.43058266244554
92,[14.2365618  26.69723537],376.43058266244554
93,[14.2365618  26.69723537],376.43058266244554
94,[14.2365618  26.69723537],376.43058266244554
95,[14.2365618  26.69723537],376.43058266244554
96,[14.2365618  26.69723537],376.43058266244554
97,[14.2365618  26.69723537],376.43058266244554
98,[14.2365618  26.69723537],376.43058266244554
99,[14.2365618  26.69723537],376.43058266244554
100,[14.2365618  26.69723537],376.43058266244554
101,[14.2365618  26.69723537],376.43058266244554
102,[14.2365618  26.69723537],376.43058266244554
103,[14.2365618  26.69723537],376.43058266244554
104,[14.2365618  26.69723537],376.43058266244554
105,[14.2365618  26.69723537],376.43058266244554
106,[14.2365618  26.69723537],376.43058266244554
107,[14.2365618  26.69723537],376.43058266244554
108,[14.2365618  26.69723537],376.43058266244554
109,[14.2365618  26.69723537],376.43058266244554
110,[14.2365618  26.69723537],376.43058266244554
111,[14.2365618  26.69723537],376.43058266244554
112,[14.2365618  26.69723537],376.43058266244554
113,[14.2365618  26.69723537],376.43058266244554
114,[14.2365618  26.69723537],376.43058266244554
115,[14.2365618  26.69723537],376.43058266244554
116,[14.2365618  26.69723537],376.43058266244554
117,[14.2365618  26.69723537],376.43058266244554
118,[14.2365618  26.69723537],376.43058266244554
119,[14.2365618  26.69723537],376.43058266244554
120,[14.2365618  26.69723537],376.43058266244554
121,[14.2365618  26.69723537],376.43058266244554
122,[14.2365618  26.69723537],376.43058266244554
123,[14.2365618  26.69723537],376.43058266244554
124,[14.2365618  26.69723537],376.43058266244554
125,[14.2365618  26.69723537],376.43058266244554
126,[14.2365618  26.69723537],376.43058266244554
127,[14.2365618  26.69723537],376.43058266244554
128,[14.2365618  26.69723537],376.43058266244554
129,[14.2365618  26.69723537],376.43058266244554
130,[14.2365618  26.69723537],376.43058266244554
131,[14.2365618  26.69723537],376.43058266244554
132,[14.2365618  26.69723537],376.43058266244554
133,[14.2365618  26.69723537],376.43058266244554
134,[14.2365618  26.69723537],376.43058266244554
135,[14.2365618  26.69723537],376.43058266244554
136,[14.2365618  26.69723537],376.43058266244554
137,[14.2365618  26.69723537],376.43058266244554
138,[14.2365618  26.69723537],376.43058266244554
139,[14.2365618  26.69723537],376.43058266244554
140,[14.2365618  26.69723537],376.43058266244554
141,[14.2365618  26.69723537],376.43058266244554
142,[14.2365618  26.69723537],376.43058266244554
143,[14.2365618  26.69723537],376.43058266244554
144,[14.2365618  26.69723537],376.43058266244554
